Mã PKKH,Mã khách hàng,Date,Month,customer status,left yet
B1,CUZ00055,2022-01-06,01,old customer from last year,left
B3,CUZ00056,2022-01-06,01,new customer,left
B1,CUZ00057,2022-01-06,01,old customer from last year,left
B3,CUZ00058,2022-01-06,01,new customer,left
B1,CUZ00059,2022-01-06,01,old customer from last year,left
C3,CUZ00060,2022-01-06,01,new customer,left
B2,CUZ00061,2022-01-06,01,new customer,left
A3,CUZ00062,2022-01-06,01,old customer from last year,left
B1,CUZ00063,2022-01-06,01,new customer,still staying
B1,CUZ00063,2022-09-23,09,old customer from THIS year,still staying
B1,CUZ00064,2022-01-06,01,old customer from last year,left
A1,CUZ00065,2022-01-07,01,new customer,still staying
A1,CUZ00065,2022-03-08,03,old customer from THIS year,still staying
A1,CUZ00065,2022-04-20,04,old customer from THIS year,still staying
A1,CUZ00065,2022-08-26,08,old customer from THIS year,still staying
A1,CUZ00065,2022-09-16,09,old customer from THIS year,still staying
A1,CUZ00065,2022-10-07,10,old customer from THIS year,still staying
A1,CUZ00065,2022-12-21,12,old customer from THIS year,still staying
C1,CUZ00066,2022-01-07,01,old customer from last year,left
B1,CUZ00067,2022-01-07,01,old customer from last year,left
B3,CUZ00068,2022-01-07,01,new customer,left
B1,CUZ00069,2022-01-07,01,old customer from last year,left
A2,CUZ00070,2022-01-07,01,new customer,still staying
A2,CUZ00070,2022-02-28,02,old customer from THIS year,still staying
A2,CUZ00070,2022-05-07,05,old customer from THIS year,still staying
A2,CUZ00070,2022-06-24,06,old customer from THIS year,left
B2,CUZ00071,2022-01-07,01,new customer,left
A1,CUZ00072,2022-01-07,01,old customer from last year,still staying
A1,CUZ00072,2022-02-07,02,old customer from last year,left
B2,CUZ00073,2022-01-07,01,new customer,left
B2,CUZ00074,2022-01-07,01,new customer,left
C2,CUZ00075,2022-01-07,01,old customer from last year,left
A2,CUZ00076,2022-01-07,01,old customer from last year,left
C2,CUZ00077,2022-01-07,01,old customer from last year,left
A3,CUZ00078,2022-01-07,01,old customer from last year,left
A2,CUZ00079,2022-01-08,01,old customer from last year,left
C1,CUZ00080,2022-01-08,01,old customer from last year,left
A1,CUZ00081,2022-01-08,01,old customer from last year,left
A3,CUZ00082,2022-01-08,01,old customer from last year,left
B2,CUZ00083,2022-01-08,01,new customer,left
C2,CUZ00084,2022-01-08,01,new customer,left
B2,CUZ00085,2022-01-08,01,new customer,left
B3,CUZ00086,2022-01-08,01,new customer,left
C3,CUZ00087,2022-01-08,01,new customer,left
A3,CUZ00088,2022-01-08,01,old customer from last year,left
A3,CUZ00089,2022-01-08,01,old customer from last year,left
A3,CUZ00090,2022-01-08,01,old customer from last year,left
A1,CUZ00091,2022-01-08,01,old customer from last year,left
B1,CUZ00092,2022-01-09,01,old customer from last year,left
B1,CUZ00093,2022-01-09,01,old customer from last year,left
A3,CUZ00094,2022-01-09,01,old customer from last year,left
A1,CUZ00095,2022-01-09,01,old customer from last year,left
A2,CUZ00096,2022-01-09,01,old customer from last year,left
B3,CUZ00097,2022-01-09,01,new customer,left
A3,CUZ00098,2022-01-09,01,old customer from last year,left
A2,CUZ00099,2022-01-09,01,old customer from last year,left
C1,CUZ00100,2022-01-10,01,new customer,left
B2,CUZ00101,2022-01-10,01,new customer,left
A1,CUZ00102,2022-01-10,01,old customer from last year,left
A2,CUZ00103,2022-01-10,01,old customer from last year,left
B3,CUZ00104,2022-01-10,01,new customer,left
A1,CUZ00105,2022-01-10,01,new customer,still staying
A1,CUZ00105,2022-05-22,05,old customer from THIS year,still staying
A1,CUZ00105,2022-08-10,08,old customer from THIS year,still staying
A1,CUZ00105,2022-11-20,11,old customer from THIS year,still staying
B2,CUZ00106,2022-01-10,01,new customer,still staying
B2,CUZ00106,2022-03-26,03,old customer from THIS year,left
C2,CUZ00107,2022-01-10,01,new customer,left
C1,CUZ00108,2022-01-10,01,new customer,left
A1,CUZ00109,2022-01-10,01,old customer from last year,left
A3,CUZ00110,2022-01-11,01,new customer,left
A1,CUZ00111,2022-01-11,01,old customer from last year,left
A1,CUZ00112,2022-01-11,01,new customer,still staying
A1,CUZ00112,2022-04-30,04,old customer from THIS year,still staying
A1,CUZ00112,2022-06-27,06,old customer from THIS year,still staying
A1,CUZ00112,2022-07-17,07,old customer from THIS year,left
C1,CUZ00113,2022-01-11,01,new customer,left
B3,CUZ00114,2022-01-11,01,new customer,left
C2,CUZ00115,2022-01-11,01,new customer,left
A3,CUZ00116,2022-01-11,01,new customer,left
A1,CUZ00117,2022-01-12,01,old customer from last year,left
B1,CUZ00118,2022-01-12,01,old customer from last year,left
B2,CUZ00119,2022-01-12,01,new customer,left
B2,CUZ00120,2022-01-12,01,new customer,left
A1,CUZ00121,2022-01-12,01,new customer,still staying
A1,CUZ00121,2022-02-07,02,old customer from THIS year,still staying
A1,CUZ00121,2022-03-06,03,old customer from THIS year,still staying
A1,CUZ00121,2022-05-21,05,old customer from THIS year,still staying
A1,CUZ00121,2022-09-02,09,old customer from THIS year,left
A3,CUZ00122,2022-01-12,01,new customer,left
B2,CUZ00123,2022-01-12,01,new customer,left
C2,CUZ00124,2022-01-12,01,new customer,left
B2,CUZ00125,2022-01-12,01,new customer,left
A1,CUZ00126,2022-01-12,01,old customer from last year,left
A1,CUZ00127,2022-01-12,01,old customer from last year,left
B2,CUZ00128,2022-01-12,01,new customer,left
A1,CUZ00129,2022-01-13,01,old customer from last year,left
A2,CUZ00130,2022-01-13,01,old customer from last year,left
B3,CUZ00131,2022-01-13,01,new customer,left
C2,CUZ00132,2022-01-13,01,new customer,left
A2,CUZ00133,2022-01-13,01,old customer from last year,left
B3,CUZ00134,2022-01-13,01,new customer,left
A2,CUZ00135,2022-01-13,01,old customer from last year,left
C1,CUZ00136,2022-01-13,01,new customer,left
C3,CUZ00137,2022-01-13,01,new customer,left
B1,CUZ00138,2022-01-13,01,new customer,left
B2,CUZ00139,2022-01-13,01,new customer,left
A1,CUZ00140,2022-01-14,01,old customer from last year,left
B3,CUZ00141,2022-01-14,01,new customer,left
B2,CUZ00142,2022-01-14,01,new customer,left
A2,CUZ00143,2022-01-14,01,old customer from last year,left
A1,CUZ00144,2022-01-14,01,old customer from last year,left
A1,CUZ00145,2022-01-14,01,new customer,still staying
A1,CUZ00145,2022-03-22,03,old customer from THIS year,still staying
A1,CUZ00145,2022-05-19,05,old customer from THIS year,still staying
A1,CUZ00145,2022-10-02,10,old customer from THIS year,still staying
B3,CUZ00146,2022-01-14,01,new customer,left
A3,CUZ00147,2022-01-14,01,new customer,still staying
A3,CUZ00147,2022-02-13,02,old customer from THIS year,still staying
A3,CUZ00147,2022-03-25,03,old customer from THIS year,still staying
A3,CUZ00147,2022-04-24,04,old customer from THIS year,still staying
A3,CUZ00147,2022-05-11,05,old customer from THIS year,still staying
A3,CUZ00147,2022-06-12,06,old customer from THIS year,still staying
A3,CUZ00147,2022-07-18,07,old customer from THIS year,still staying
A3,CUZ00147,2022-10-10,10,old customer from THIS year,still staying
A2,CUZ00148,2022-01-14,01,old customer from last year,left
A3,CUZ00149,2022-01-14,01,new customer,left
B1,CUZ00150,2022-01-14,01,new customer,left
A2,CUZ00151,2022-01-14,01,old customer from last year,left
C1,CUZ00152,2022-01-15,01,new customer,left
A3,CUZ00153,2022-01-15,01,new customer,left
C1,CUZ00154,2022-01-15,01,new customer,left
B3,CUZ00155,2022-01-15,01,new customer,left
C3,CUZ00156,2022-01-15,01,new customer,left
B1,CUZ00157,2022-01-15,01,new customer,left
A3,CUZ00158,2022-01-15,01,new customer,left
A2,CUZ00159,2022-01-15,01,old customer from last year,left
A3,CUZ00160,2022-01-15,01,new customer,left
A2,CUZ00161,2022-01-15,01,old customer from last year,left
B1,CUZ00162,2022-01-15,01,new customer,left
A3,CUZ00163,2022-01-15,01,new customer,left
C1,CUZ00164,2022-01-15,01,new customer,left
A3,CUZ00165,2022-01-16,01,new customer,left
B3,CUZ00166,2022-01-16,01,new customer,left
A1,CUZ00167,2022-01-16,01,new customer,still staying
A1,CUZ00167,2022-04-14,04,old customer from THIS year,still staying
A1,CUZ00167,2022-05-23,05,old customer from THIS year,still staying
A1,CUZ00167,2022-07-17,07,old customer from THIS year,still staying
A1,CUZ00167,2022-09-10,09,old customer from THIS year,still staying
B1,CUZ00168,2022-01-16,01,new customer,left
A1,CUZ00169,2022-01-16,01,old customer from last year,left
B1,CUZ00170,2022-01-16,01,new customer,left
B2,CUZ00171,2022-01-16,01,new customer,left
A1,CUZ00172,2022-01-16,01,new customer,still staying
A1,CUZ00172,2022-03-26,03,old customer from THIS year,still staying
A1,CUZ00172,2022-04-30,04,old customer from THIS year,still staying
A1,CUZ00172,2022-05-27,05,old customer from THIS year,left
A2,CUZ00173,2022-01-16,01,new customer,still staying
A2,CUZ00173,2022-08-08,08,old customer from THIS year,still staying
B2,CUZ00174,2022-01-16,01,new customer,left
B3,CUZ00175,2022-01-16,01,new customer,left
A2,CUZ00176,2022-01-16,01,old customer from last year,left
A1,CUZ00177,2022-01-16,01,old customer from last year,left
B1,CUZ00178,2022-01-16,01,new customer,left
A1,CUZ00179,2022-01-17,01,new customer,still staying
A1,CUZ00179,2022-03-05,03,old customer from THIS year,still staying
A1,CUZ00179,2022-05-07,05,old customer from THIS year,left
C2,CUZ00180,2022-01-17,01,new customer,left
C2,CUZ00181,2022-01-17,01,new customer,left
B2,CUZ00182,2022-01-17,01,new customer,left
B1,CUZ00183,2022-01-17,01,new customer,left
B2,CUZ00184,2022-01-17,01,new customer,left
A2,CUZ00185,2022-01-17,01,new customer,still staying
A2,CUZ00185,2022-08-26,08,old customer from THIS year,still staying
B2,CUZ00186,2022-01-17,01,new customer,left
B1,CUZ00187,2022-01-17,01,new customer,left
A1,CUZ00188,2022-01-17,01,old customer from last year,left
B2,CUZ00189,2022-01-17,01,new customer,left
C1,CUZ00190,2022-01-17,01,new customer,left
A1,CUZ00191,2022-01-18,01,old customer from last year,left
B2,CUZ00192,2022-01-18,01,new customer,left
A2,CUZ00193,2022-01-18,01,new customer,left
C3,CUZ00194,2022-01-18,01,new customer,left
B2,CUZ00195,2022-01-18,01,new customer,left
C1,CUZ00196,2022-01-18,01,new customer,left
A3,CUZ00197,2022-01-18,01,new customer,left
B2,CUZ00198,2022-01-18,01,new customer,left
A2,CUZ00199,2022-01-19,01,new customer,left
B1,CUZ00200,2022-01-19,01,new customer,left
C2,CUZ00201,2022-01-19,01,new customer,left
A3,CUZ00202,2022-01-19,01,new customer,left
C1,CUZ00203,2022-01-19,01,new customer,left
B3,CUZ00204,2022-01-19,01,new customer,left
B1,CUZ00205,2022-01-19,01,new customer,left
C1,CUZ00206,2022-01-19,01,new customer,left
A1,CUZ00207,2022-01-19,01,new customer,still staying
A1,CUZ00207,2022-02-14,02,old customer from THIS year,still staying
A1,CUZ00207,2022-03-29,03,old customer from THIS year,still staying
A1,CUZ00207,2022-04-27,04,old customer from THIS year,still staying
A1,CUZ00207,2022-05-14,05,old customer from THIS year,left
A3,CUZ00208,2022-01-19,01,new customer,left
C1,CUZ00209,2022-01-20,01,new customer,left
B3,CUZ00210,2022-01-20,01,new customer,left
B1,CUZ00211,2022-01-20,01,new customer,left
B2,CUZ00212,2022-01-20,01,new customer,left
A1,CUZ00213,2022-01-20,01,new customer,still staying
A1,CUZ00213,2022-05-20,05,old customer from THIS year,still staying
A1,CUZ00213,2022-08-29,08,old customer from THIS year,still staying
A1,CUZ00213,2022-09-14,09,old customer from THIS year,still staying
A1,CUZ00213,2022-11-15,11,old customer from THIS year,still staying
A1,CUZ00213,2022-12-02,12,old customer from THIS year,still staying
A2,CUZ00214,2022-01-20,01,new customer,left
C3,CUZ00215,2022-01-20,01,new customer,left
C1,CUZ00216,2022-01-20,01,new customer,left
A2,CUZ00217,2022-01-20,01,new customer,left
C1,CUZ00218,2022-01-20,01,new customer,left
A1,CUZ00219,2022-01-21,01,old customer from last year,left
A3,CUZ00220,2022-01-21,01,new customer,left
A1,CUZ00221,2022-01-21,01,new customer,still staying
A1,CUZ00221,2022-07-30,07,old customer from THIS year,still staying
A1,CUZ00221,2022-09-25,09,old customer from THIS year,still staying
A2,CUZ00222,2022-01-21,01,new customer,left
C1,CUZ00223,2022-01-21,01,new customer,left
C3,CUZ00224,2022-01-21,01,new customer,left
B1,CUZ00225,2022-01-21,01,new customer,left
A1,CUZ00226,2022-01-21,01,new customer,still staying
A1,CUZ00226,2022-03-20,03,old customer from THIS year,still staying
A1,CUZ00226,2022-07-13,07,old customer from THIS year,left
C2,CUZ00227,2022-01-21,01,new customer,left
A1,CUZ00228,2022-01-21,01,old customer from last year,left
C1,CUZ00229,2022-01-21,01,new customer,left
B2,CUZ00230,2022-01-21,01,new customer,left
B2,CUZ00231,2022-01-22,01,new customer,left
C3,CUZ00232,2022-01-22,01,new customer,left
C2,CUZ00233,2022-01-22,01,new customer,left
B3,CUZ00234,2022-01-22,01,new customer,left
A3,CUZ00235,2022-01-22,01,new customer,left
A3,CUZ00236,2022-01-22,01,new customer,left
B2,CUZ00237,2022-01-22,01,new customer,left
A1,CUZ00238,2022-01-22,01,old customer from last year,left
A1,CUZ00239,2022-01-22,01,old customer from last year,left
A2,CUZ00240,2022-01-23,01,new customer,still staying
A2,CUZ00240,2022-03-25,03,old customer from THIS year,still staying
A2,CUZ00240,2022-09-18,09,old customer from THIS year,still staying
B3,CUZ00241,2022-01-23,01,new customer,left
B3,CUZ00242,2022-01-23,01,new customer,still staying
B3,CUZ00242,2022-05-28,05,old customer from THIS year,left
B1,CUZ00243,2022-01-23,01,new customer,left
B3,CUZ00244,2022-01-23,01,new customer,left
B2,CUZ00245,2022-01-23,01,new customer,left
A1,CUZ00246,2022-01-23,01,new customer,still staying
A1,CUZ00246,2022-03-24,03,old customer from THIS year,left
A1,CUZ00247,2022-01-23,01,new customer,still staying
A1,CUZ00247,2022-04-10,04,old customer from THIS year,still staying
A1,CUZ00247,2022-05-26,05,old customer from THIS year,left
A3,CUZ00248,2022-01-23,01,new customer,left
C3,CUZ00249,2022-01-23,01,new customer,left
C3,CUZ00250,2022-01-23,01,new customer,left
B1,CUZ00251,2022-01-23,01,new customer,left
A2,CUZ00252,2022-01-23,01,new customer,left
A1,CUZ00253,2022-01-24,01,new customer,still staying
A1,CUZ00253,2022-04-29,04,old customer from THIS year,still staying
A1,CUZ00253,2022-05-15,05,old customer from THIS year,still staying
A1,CUZ00253,2022-07-11,07,old customer from THIS year,left
A2,CUZ00254,2022-01-24,01,new customer,left
A2,CUZ00255,2022-01-24,01,new customer,still staying
A2,CUZ00255,2022-10-06,10,old customer from THIS year,still staying
A2,CUZ00255,2022-12-21,12,old customer from THIS year,still staying
A3,CUZ00256,2022-01-24,01,new customer,left
C2,CUZ00257,2022-01-24,01,new customer,left
C3,CUZ00258,2022-01-24,01,new customer,left
B2,CUZ00259,2022-01-24,01,new customer,left
C3,CUZ00260,2022-01-24,01,new customer,left
B2,CUZ00261,2022-01-25,01,new customer,left
C3,CUZ00262,2022-01-25,01,new customer,left
B3,CUZ00263,2022-01-25,01,new customer,left
C3,CUZ00264,2022-01-25,01,new customer,left
C1,CUZ00265,2022-01-25,01,new customer,left
B3,CUZ00266,2022-01-25,01,new customer,left
B1,CUZ00267,2022-01-25,01,new customer,left
C2,CUZ00268,2022-01-26,01,new customer,left
C1,CUZ00269,2022-01-26,01,new customer,left
A1,CUZ00270,2022-01-26,01,old customer from last year,left
A2,CUZ00271,2022-01-26,01,new customer,left
A2,CUZ00272,2022-01-26,01,new customer,left
B2,CUZ00273,2022-01-26,01,new customer,left
A3,CUZ00274,2022-01-26,01,new customer,left
A3,CUZ00275,2022-01-26,01,new customer,left
A3,CUZ00276,2022-01-26,01,new customer,left
A1,CUZ00277,2022-01-26,01,new customer,still staying
A1,CUZ00277,2022-04-28,04,old customer from THIS year,still staying
A1,CUZ00277,2022-05-09,05,old customer from THIS year,still staying
A1,CUZ00277,2022-06-10,06,old customer from THIS year,still staying
A1,CUZ00277,2022-07-04,07,old customer from THIS year,still staying
A1,CUZ00277,2022-09-24,09,old customer from THIS year,still staying
A1,CUZ00277,2022-10-17,10,old customer from THIS year,still staying
B2,CUZ00278,2022-01-26,01,new customer,left
B3,CUZ00279,2022-01-26,01,new customer,left
A2,CUZ00280,2022-01-27,01,new customer,left
B1,CUZ00281,2022-01-27,01,new customer,still staying
B1,CUZ00281,2022-05-20,05,old customer from THIS year,still staying
B1,CUZ00281,2022-10-19,10,old customer from THIS year,still staying
B1,CUZ00281,2022-12-18,12,old customer from THIS year,still staying
A2,CUZ00282,2022-01-27,01,new customer,left
C2,CUZ00283,2022-01-27,01,new customer,left
B1,CUZ00284,2022-01-27,01,new customer,left
C1,CUZ00285,2022-01-27,01,new customer,left
A3,CUZ00286,2022-01-27,01,new customer,still staying
A3,CUZ00286,2022-06-08,06,old customer from THIS year,left
B1,CUZ00287,2022-01-27,01,new customer,left
B1,CUZ00288,2022-01-27,01,new customer,left
A2,CUZ00289,2022-01-27,01,new customer,left
A2,CUZ00290,2022-01-27,01,new customer,left
C1,CUZ00291,2022-01-27,01,new customer,left
A3,CUZ00292,2022-01-27,01,new customer,left
B1,CUZ00293,2022-01-27,01,new customer,left
A1,CUZ00294,2022-01-28,01,old customer from last year,left
A1,CUZ00295,2022-01-28,01,old customer from last year,left
B3,CUZ00296,2022-01-28,01,new customer,left
A1,CUZ00297,2022-01-28,01,old customer from last year,left
C1,CUZ00298,2022-01-28,01,new customer,left
B2,CUZ00299,2022-01-28,01,new customer,left
B2,CUZ00300,2022-01-28,01,new customer,left
B1,CUZ00301,2022-01-28,01,new customer,left
A3,CUZ00302,2022-01-28,01,new customer,left
A3,CUZ00303,2022-01-28,01,new customer,left
B1,CUZ00304,2022-01-28,01,new customer,left
B2,CUZ00305,2022-01-28,01,new customer,left
A3,CUZ00306,2022-01-29,01,new customer,left
C2,CUZ00307,2022-01-29,01,new customer,left
B3,CUZ00308,2022-01-29,01,new customer,left
A1,CUZ00309,2022-01-29,01,old customer from last year,left
A3,CUZ00310,2022-01-29,01,new customer,left
A3,CUZ00311,2022-01-29,01,new customer,left
A3,CUZ00312,2022-01-29,01,new customer,left
C2,CUZ00313,2022-01-29,01,new customer,left
B3,CUZ00314,2022-01-29,01,new customer,left
A1,CUZ00315,2022-01-29,01,old customer from last year,left
B2,CUZ00316,2022-01-29,01,new customer,left
B1,CUZ00317,2022-01-29,01,new customer,left
A3,CUZ00318,2022-01-30,01,new customer,left
A2,CUZ00319,2022-01-30,01,new customer,left
A2,CUZ00320,2022-01-30,01,new customer,left
A2,CUZ00321,2022-01-30,01,new customer,left
C2,CUZ00322,2022-01-30,01,new customer,left
A1,CUZ00323,2022-01-30,01,old customer from last year,left
C1,CUZ00324,2022-01-30,01,new customer,left
C1,CUZ00325,2022-01-30,01,new customer,left
A2,CUZ00326,2022-01-30,01,new customer,left
A2,CUZ00327,2022-01-30,01,new customer,left
C1,CUZ00328,2022-01-30,01,new customer,left
B3,CUZ00329,2022-01-30,01,new customer,left
A1,CUZ00330,2022-01-31,01,new customer,still staying
A1,CUZ00330,2022-02-16,02,old customer from THIS year,still staying
A1,CUZ00330,2022-03-04,03,old customer from THIS year,still staying
A1,CUZ00330,2022-04-07,04,old customer from THIS year,still staying
A1,CUZ00330,2022-05-01,05,old customer from THIS year,still staying
A1,CUZ00330,2022-08-22,08,old customer from THIS year,still staying
A1,CUZ00330,2022-09-21,09,old customer from THIS year,still staying
A1,CUZ00330,2022-10-14,10,old customer from THIS year,still staying
A1,CUZ00330,2022-11-06,11,old customer from THIS year,still staying
A1,CUZ00331,2022-01-31,01,new customer,still staying
A1,CUZ00331,2022-03-23,03,old customer from THIS year,still staying
A1,CUZ00331,2022-04-08,04,old customer from THIS year,still staying
A1,CUZ00331,2022-05-20,05,old customer from THIS year,still staying
A1,CUZ00331,2022-06-05,06,old customer from THIS year,still staying
A1,CUZ00331,2022-08-25,08,old customer from THIS year,still staying
A1,CUZ00331,2022-09-06,09,old customer from THIS year,still staying
B3,CUZ00332,2022-01-31,01,new customer,left
B2,CUZ00333,2022-01-31,01,new customer,left
A1,CUZ00334,2022-01-31,01,old customer from last year,left
A2,CUZ00335,2022-01-31,01,new customer,left
A2,CUZ00336,2022-01-31,01,new customer,left
A3,CUZ00337,2022-01-31,01,new customer,left
A1,CUZ00338,2022-02-01,02,old customer from last year,left
C1,CUZ00339,2022-02-01,02,new customer,left
A3,CUZ00340,2022-02-01,02,new customer,left
A1,CUZ00341,2022-02-02,02,new customer,still staying
A1,CUZ00341,2022-05-13,05,old customer from THIS year,still staying
A1,CUZ00341,2022-06-06,06,old customer from THIS year,left
C2,CUZ00342,2022-02-02,02,new customer,left
C2,CUZ00343,2022-02-02,02,new customer,left
A1,CUZ00344,2022-02-02,02,new customer,still staying
A1,CUZ00344,2022-04-21,04,old customer from THIS year,left
C2,CUZ00345,2022-02-02,02,new customer,left
B3,CUZ00346,2022-02-02,02,new customer,left
A3,CUZ00347,2022-02-02,02,new customer,left
C3,CUZ00348,2022-02-02,02,new customer,left
A2,CUZ00349,2022-02-02,02,new customer,still staying
A2,CUZ00349,2022-05-08,05,old customer from THIS year,left
A2,CUZ00350,2022-02-03,02,new customer,left
B2,CUZ00351,2022-02-03,02,new customer,left
A1,CUZ00352,2022-02-03,02,old customer from last year,left
A2,CUZ00353,2022-02-03,02,new customer,left
A3,CUZ00354,2022-02-03,02,new customer,left
C3,CUZ00355,2022-02-03,02,new customer,left
A3,CUZ00356,2022-02-03,02,new customer,left
C3,CUZ00357,2022-02-03,02,new customer,left
B2,CUZ00358,2022-02-04,02,new customer,left
A3,CUZ00359,2022-02-04,02,new customer,left
A2,CUZ00360,2022-02-04,02,new customer,left
A3,CUZ00361,2022-02-04,02,new customer,left
A1,CUZ00362,2022-02-04,02,old customer from last year,left
A2,CUZ00363,2022-02-04,02,new customer,left
A3,CUZ00364,2022-02-04,02,new customer,still staying
A3,CUZ00364,2022-03-17,03,old customer from THIS year,still staying
A3,CUZ00364,2022-08-12,08,old customer from THIS year,still staying
A3,CUZ00364,2022-10-27,10,old customer from THIS year,still staying
A3,CUZ00364,2022-11-11,11,old customer from THIS year,still staying
B2,CUZ00365,2022-02-04,02,new customer,left
C1,CUZ00366,2022-02-04,02,new customer,left
B1,CUZ00367,2022-02-04,02,new customer,left
C2,CUZ00368,2022-02-04,02,new customer,left
A2,CUZ00369,2022-02-05,02,new customer,left
B3,CUZ00370,2022-02-05,02,new customer,left
B1,CUZ00371,2022-02-05,02,new customer,left
C1,CUZ00372,2022-02-05,02,new customer,left
A1,CUZ00373,2022-02-05,02,new customer,still staying
A1,CUZ00373,2022-03-28,03,old customer from THIS year,still staying
A1,CUZ00373,2022-07-16,07,old customer from THIS year,left
A1,CUZ00374,2022-02-05,02,new customer,still staying
A1,CUZ00374,2022-03-10,03,old customer from THIS year,left
B2,CUZ00375,2022-02-05,02,new customer,left
C1,CUZ00376,2022-02-05,02,new customer,left
A1,CUZ00377,2022-02-05,02,old customer from last year,left
C1,CUZ00378,2022-02-05,02,new customer,left
A2,CUZ00379,2022-02-05,02,new customer,left
A2,CUZ00380,2022-02-05,02,new customer,left
C1,CUZ00381,2022-02-06,02,new customer,left
A1,CUZ00382,2022-02-06,02,old customer from last year,left
B2,CUZ00383,2022-02-06,02,new customer,left
A3,CUZ00384,2022-02-06,02,new customer,left
C3,CUZ00385,2022-02-06,02,new customer,left
A3,CUZ00386,2022-02-06,02,new customer,still staying
A3,CUZ00386,2022-04-07,04,old customer from THIS year,left
A1,CUZ00387,2022-02-06,02,old customer from last year,left
B1,CUZ00388,2022-02-06,02,new customer,still staying
B1,CUZ00388,2022-08-23,08,old customer from THIS year,still staying
B1,CUZ00388,2022-09-17,09,old customer from THIS year,still staying
B1,CUZ00388,2022-11-24,11,old customer from THIS year,still staying
A1,CUZ00389,2022-02-07,02,old customer from last year,left
